ad_id,campaign_name,platform,impressions,clicks,conversions,cost,age_group,location,device,date,ctr,cpc,conversion_rate,cpm,cpa,perf_score,month,day_of_week,week,account
AD001,Summer Sale,Facebook,12000,850,120,300,18-24,Bangalore,Mobile,2025-06-01,0.07083333333333333,0.35294117647058826,0.1411764705882353,25.0,2.5,56.78,6,6,22,prathamesh
AD002,Summer Sale,Google,15000,920,140,400,25-34,Mumbai,Desktop,2025-06-01,0.06133333333333333,0.43478260869565216,0.15217391304347827,26.666666666666668,2.857142857142857,27.0,6,6,22,prathamesh
AD003,Winter Deals,Instagram,10000,700,90,250,18-24,Delhi,Mobile,2025-12-10,0.07,0.35714285714285715,0.12857142857142856,25.0,2.7777777777777777,49.12,12,2,50,prathamesh
AD004,Winter Deals,Facebook,18000,1100,200,500,35-44,Chennai,Tablet,2025-12-10,0.06111111111111111,0.45454545454545453,0.18181818181818182,27.777777777777775,2.5,35.73,12,2,50,prathamesh
AD005,Festive Offer,Google,20000,1300,220,600,25-34,Hyderabad,Mobile,2025-10-20,0.065,0.46153846153846156,0.16923076923076924,30.0,2.727272727272727,38.29,10,0,43,prathamesh
AD006,Festive Offer,Instagram,17000,1000,180,450,18-24,Kolkata,Mobile,2025-10-20,0.058823529411764705,0.45,0.18,26.470588235294116,2.5,30.63,10,0,43,prathamesh
AD007,Flash Sale,Facebook,9000,600,80,200,45-54,Pune,Desktop,2025-07-15,0.06666666666666667,0.3333333333333333,0.13333333333333333,22.22222222222222,2.5,48.86,7,1,29,prathamesh
AD008,Flash Sale,Google,22000,1400,260,700,25-34,Bangalore,Mobile,2025-07-15,0.06363636363636363,0.5,0.18571428571428572,31.818181818181817,2.6923076923076925,37.6,7,1,29,prathamesh
AD009,New Launch,Instagram,25000,1600,300,800,18-24,Mumbai,Mobile,2025-08-05,0.064,0.5,0.1875,32.0,2.6666666666666665,39.1,8,1,32,prathamesh
AD010,New Launch,Facebook,14000,900,150,350,35-44,Delhi,Tablet,2025-08-05,0.06428571428571428,0.3888888888888889,0.16666666666666666,25.0,2.3333333333333335,46.08,8,1,32,prathamesh
AD011,Clearance Sale,Google,30000,2000,400,1000,45-54,Chennai,Desktop,2025-09-12,0.06666666666666667,0.5,0.2,33.333333333333336,2.5,49.84,9,4,37,prathamesh
AD012,Clearance Sale,Instagram,21000,1500,270,650,25-34,Hyderabad,Mobile,2025-09-12,0.07142857142857142,0.43333333333333335,0.18,30.952380952380953,2.4074074074074074,60.1,9,4,37,prathamesh
AD013,Back to School,Facebook,16000,1100,210,480,18-24,Kolkata,Mobile,2025-06-15,0.06875,0.43636363636363634,0.19090909090909092,30.0,2.2857142857142856,58.22,6,6,24,prathamesh
AD014,Back to School,Google,18000,1200,230,520,25-34,Pune,Desktop,2025-06-15,0.06666666666666667,0.43333333333333335,0.19166666666666668,28.88888888888889,2.260869565217391,54.43,6,6,24,prathamesh
AD015,Travel Deals,Instagram,27000,1800,350,900,35-44,Bangalore,Mobile,2025-11-01,0.06666666666666667,0.5,0.19444444444444445,33.333333333333336,2.5714285714285716,47.63,11,5,44,prathamesh
AD016,Travel Deals,Facebook,23000,1500,300,750,45-54,Mumbai,Tablet,2025-11-01,0.06521739130434782,0.5,0.2,32.608695652173914,2.5,46.7,11,5,44,prathamesh
AD017,App Promotion,Google,26000,1700,320,850,18-24,Delhi,Mobile,2025-05-25,0.06538461538461539,0.5,0.18823529411764706,32.69230769230769,2.65625,42.39,5,6,21,prathamesh
AD018,App Promotion,Instagram,22000,1400,260,700,25-34,Chennai,Mobile,2025-05-25,0.06363636363636363,0.5,0.18571428571428572,31.818181818181817,2.6923076923076925,37.6,5,6,21,prathamesh
AD019,Black Friday,Facebook,35000,2500,500,1200,35-44,Hyderabad,Desktop,2025-11-25,0.07142857142857142,0.48,0.2,34.285714285714285,2.4,62.28,11,1,48,prathamesh
AD020,Black Friday,Google,40000,3000,650,1500,25-34,Kolkata,Mobile,2025-11-25,0.075,0.5,0.21666666666666667,37.5,2.3076923076923075,74.49,11,1,48,prathamesh
AD021,Cyber Monday,Instagram,32000,2200,450,1100,18-24,Pune,Mobile,2025-11-30,0.06875,0.5,0.20454545454545456,34.375,2.4444444444444446,56.15,11,6,48,prathamesh
AD022,Cyber Monday,Facebook,28000,2000,400,1000,45-54,Bangalore,Desktop,2025-11-30,0.07142857142857142,0.5,0.2,35.714285714285715,2.5,60.14,11,6,48,prathamesh
AD023,Holiday Sale,Google,36000,2400,480,1300,25-34,Mumbai,Mobile,2025-12-20,0.06666666666666667,0.5416666666666666,0.2,36.11111111111111,2.7083333333333335,45.87,12,5,51,prathamesh
AD024,Holiday Sale,Instagram,30000,2100,420,1150,18-24,Delhi,Mobile,2025-12-20,0.07,0.5476190476190477,0.2,38.33333333333333,2.738095238095238,52.56,12,5,51,prathamesh
AD025,Year End Sale,Facebook,38000,2600,520,1400,35-44,Chennai,Tablet,2025-12-28,0.06842105263157895,0.5384615384615384,0.2,36.84210526315789,2.6923076923076925,49.95,12,6,52,prathamesh
